;0;;;;;;;;;;;;;
Laos;LAO;LAO;#N/A;LAO;;;;JPN;Japan ;JPN;Japan;JPN;Japan;JPN
Latvia;LAT;#N/A;LVA;LVA;;;;KAZ;Kazakhstan ;KAZ;Kazakhstan;KAZ;Kazakhstan;KAZ
Lebanon;LEB;#N/A;LBN;LBN;;;;KEN;Kenya ;KEN;Kenya;KEN;Kenya;KEN
Lebanon Palestinian rebels*;XLP;#N/A;#N/A;;;;;KGZ;Kyrgyzstan ;KGZ;Kyrgyzstan;KGZ;Kyrgyzstan;KGZ
Lesotho;LES;#N/A;LSO;LSO;;;;KHM;Cambodia ;KHM;Cambodia;KHM;Cambodia;KHM
Liberia;LIB;#N/A;LBR;LBR;;;;KIR;Kiribati ;KIR;Kiribati;KIR;Kiribati;KIR
Libya;LYA;#N/A;#N/A;LBY;;;;KNA;Saint Kitts and Nevis ;KNA;Saint Kitts and Nevis;KNA;Saint Kitts and Nevis;KNA
Lithuania;LIT;#N/A;LTU;LTU;;;;KOR;Korea, Republic of ;KOR;Korea, Republic of;KOR;Korea, Republic of;KOR
Luxembourg;LUX;LUX;LUX;LUX;;;;KWT;Kuwait ;KWT;Kuwait;KWT;Kuwait;KWT
MNLF (Philippines)*;XPQ;#N/A;#N/A;;;;;LAO;Lao People's Democratic Republic ;LAO;Lao People's Democratic Republic;LAO;Lao People's Democratic Republic;LAO
MPLA (Portugal)*;XPM;#N/A;#N/A;;;;;LBN;Lebanon ;LBN;Lebanon;LBN;Lebanon;LBN
MTA (Myanmar)*;XMX;#N/A;#N/A;;;;;LBR;Liberia ;LBR;Liberia;LBR;Liberia;LBR
Macedonia (FYROM);MAC;MAC;#N/A;MAC;;;;LBY;Libyan Arab Jamahiriya ;LBY;Libyan Arab Jamahiriya;LBY;Libyan Arab Jamahiriya;LBY
Madagascar;MAD;#N/A;MDG;MDG;;;;LCA;Saint Lucia ;LCA;Saint Lucia;LCA;Saint Lucia;LCA
Malawi;MWI;MWI;MWI;MWI;;;;LIE;Liechtenstein ;LIE;Liechtenstein;LIE;Liechtenstein;LIE
Malaysia;MAL;#N/A;MYS;MYS;;;;LKA;Sri Lanka ;LKA;Sri Lanka;LKA;Sri Lanka;LKA
Maldives;MLV;#N/A;MDV;MDV;;;;LSO;Lesotho ;LSO;Lesotho;LSO;Lesotho;LSO
Mali;MLI;MLI;MLI;MLI;;;;LTU;Lithuania ;LTU;Lithuania;LTU;Lithuania;LTU
Malta;MTA;#N/A;MLT;MLT;;;;LUX;Luxembourg ;LUX;Luxembourg;LUX;Luxembourg;LUX
Marshall Islands;MAR;MAR;MHL;MHL;;;;LVA;Latvia ;LVA;Latvia;LVA;Latvia;LVA
Mauritania;MRA;#N/A;MRT;MRT;;;;MAC;Macao ;MAC;Macao;MAC;Macao;MAC
Mauritius;MAU;#N/A;MUS;MUS;;;;MAF;Saint Martin (French part) ;MAF;Saint Martin (French part);MAF;Saint Martin (French part);MAF
Mexico;MEX;MEX;MEX;MEX;;;;MAR;Morocco ;MAR;Morocco;MAR;Morocco;MAR
Micronesia;MIC;#N/A;#N/A;FSM;;;;MCO;Monaco ;MCO;Monaco;MCO;Monaco;MCO
Moldova;MOL;#N/A;#N/A;MDA;;;;MDA;Moldova, Republic of ;MDA;Moldova, Republic of;MDA;Moldova, Republic of;MDA
Mongolia;MON;#N/A;MNG;MNG;;;;MDG;Madagascar ;MDG;Madagascar;MDG;Madagascar;MDG
Montenegro;MNE;MNE;MNE;MNE;;;;MDV;Maldives ;MDV;Maldives;MDV;Maldives;MDV
Morocco;MOR;#N/A;MAR;MAR;;;;MEX;Mexico ;MEX;Mexico;MEX;Mexico;MEX
Mozambique;MOZ;MOZ;MOZ;MOZ;;;;MHL;Marshall Islands ;MHL;Marshall Islands;MHL;Marshall Islands;MHL
Mujahedin (Afghanistan)*;XAM;#N/A;#N/A;;;;;MKD;Macedonia, the former Yugoslav Republic of ;MKD;Macedonia, the former Yugoslav Republic of;MKD;Macedonia, the former Yugoslav Republic of;MKD
Myanmar;MYA;#N/A;MMR;MMR;;;;MLI;Mali ;MLI;Mali;MLI;Mali;MLI
NATO**;NAT;#N/A;#N/A;;;;;MLT;Malta ;MLT;Malta;MLT;Malta;MLT
NLA (Macedonia)*;XMN;#N/A;#N/A;;;;;MMR;Myanmar ;MMR;Myanmar;MMR;Myanmar;MMR
NTC (Libya)*;XLB;#N/A;#N/A;;;;;MNE;Montenegro ;MNE;Montenegro;MNE;Montenegro;MNE
Namibia;NAM;NAM;NAM;NAM;;;;MNG;Mongolia ;MNG;Mongolia;MNG;Mongolia;MNG
Nepal;NEP;#N/A;NPL;NPL;;;;MNP;Northern Mariana Islands ;MNP;Northern Mariana Islands;MNP;Northern Mariana Islands;MNP
Netherlands;NET;#N/A;NLD;NLD;;;;MOZ;Mozambique ;MOZ;Mozambique;MOZ;Mozambique;MOZ
New Zealand;NZ;#N/A;NZL;NZL;;;;MRT;Mauritania ;MRT;Mauritania;MRT;Mauritania;MRT
Nicaragua;NIC;NIC;NIC;NIC;;;;MSR;Montserrat ;MSR;Montserrat;MSR;Montserrat;MSR
Niger;NIR;#N/A;NER;NER;;;;MTQ;Martinique ;MTQ;Martinique;MTQ;Martinique;MTQ
Nigeria;NIG;#N/A;NGA;NGA;;;;MUS;Mauritius ;MUS;Mauritius;MUS;Mauritius;MUS
North Korea;KON;#N/A;#N/A;PRK;;;;MWI;Malawi ;MWI;Malawi;MWI;Malawi;MWI
North Yemen;YEN;#N/A;#N/A;YEM;;;;MYS;Malaysia ;MYS;Malaysia;MYS;Malaysia;MYS
Northern Alliance (Afghanistan)*;XAN;#N/A;#N/A;;;;;MYT;Mayotte ;MYT;Mayotte;MYT;Mayotte;MYT
Northern Cyprus;NCY;#N/A;#N/A;;;;;NAM;Namibia ;NAM;Namibia;NAM;Namibia;NAM
Norway;NOR;NOR;NOR;NOR;;;;NCL;New Caledonia ;NCL;New Caledonia;NCL;New Caledonia;NCL
Oman;OMA;#N/A;OMN;OMN;;;;NER;Niger ;NER;Niger;NER;Niger;NER
PAIGC (Portugal)*;XPP;#N/A;#N/A;;;;;NFK;Norfolk Island ;NFK;Norfolk Island;NFK;Norfolk Island;NFK
PIJ (Israel/Palestine)*;XID;#N/A;#N/A;;;;;NGA;Nigeria ;NGA;Nigeria;NGA;Nigeria;NGA
PKK (Turkey)*;XTP;#N/A;#N/A;;;;;NIC;Nicaragua ;NIC;Nicaragua;NIC;Nicaragua;NIC
PLO (Israel)*;XIP;#N/A;#N/A;;;;;NIU;Niue ;NIU;Niue;NIU;Niue;NIU
PRC (Israel/Palestine)*;XPC;#N/A;#N/A;;;;;NLD;Netherlands ;NLD;Netherlands;NLD;Netherlands;NLD
Pakistan;PAK;PAK;PAK;PAK;;;;NOR;Norway ;NOR;Norway;NOR;Norway;NOR
Palau;PAL;#N/A;PLW;PLW;;;;NPL;Nepal ;NPL;Nepal;NPL;Nepal;NPL
Palestine;PA;#N/A;#N/A;;;;;NRU;Nauru ;NRU;Nauru;NRU;Nauru;NRU
Panama;PAN;PAN;PAN;PAN;;;;NZL;New Zealand ;NZL;New Zealand;NZL;New Zealand;NZL
Papua New Guinea;PAP;#N/A;PNG;PNG;;;;OMN;Oman ;OMN;Oman;OMN;Oman;OMN
Paraguay;PAR;#N/A;PRY;PRY;;;;PAK;Pakistan ;PAK;Pakistan;PAK;Pakistan;PAK
Pathet Lao (Laos)*;XLO;#N/A;#N/A;;;;;PAN;Panama ;PAN;Panama;PAN;Panama;PAN
Peru;PER;PER;PER;PER;;;;PCN;Pitcairn ;PCN;Pitcairn;PCN;Pitcairn;PCN
Philippines;PHI;#N/A;PHL;PHL;;;;PER;Peru ;PER;Peru;PER;Peru;PER
Poland;POL;POL;POL;POL;;;;PHL;Philippines ;PHL;Philippines;PHL;Philippines;PHL
Portugal;POR;#N/A;PRT;PRT;;;;PLW;Palau ;PLW;Palau;PLW;Palau;PLW
Provisional IRA (UK)*;XUI;#N/A;#N/A;;;;;PNG;Papua New Guinea ;PNG;Papua New Guinea;PNG;Papua New Guinea;PNG
Qatar;QAT;QAT;QAT;QAT;;;;POL;Poland ;POL;Poland;POL;Poland;POL
RPF (Rwanda)*;XRR;#N/A;#N/A;;;;;PRI;Puerto Rico ;PRI;Puerto Rico;PRI;Puerto Rico;PRI
RUF (Sierra Leone)*;XSR;#N/A;#N/A;;;;;PRK;Korea, Democratic People's Republic of ;PRK;Korea, Democratic People's Republic of;PRK;Korea, Democratic People's Republic of;PRK
Regional Security System**;RSS;#N/A;#N/A;;;;;PRT;Portugal ;PRT;Portugal;PRT;Portugal;PRT
Romania;ROM;#N/A;ROU;ROU;;;;PRY;Paraguay ;PRY;Paraguay;PRY;Paraguay;PRY
Russia;RUS;RUS;#N/A;;;;;PSE;Palestinian Territory, Occupied ;PSE;Palestinian Territory, Occupied;PSE;Palestinian Territory, Occupied;PSE
Rwanda;RWA;RWA;RWA;TWA;;;;PYF;French Polynesia ;PYF;French Polynesia;PYF;French Polynesia;PYF
SLA (Lebanon)*;XLS;#N/A;#N/A;;;;;QAT;Qatar ;QAT;Qatar;QAT;Qatar;QAT
SNA (Somalia)*;XSY;#N/A;#N/A;;;;;REU;Réunion ;REU;Réunion;REU;Réunion;REU
SPLA (Sudan)*;XSP;#N/A;#N/A;;;;;ROU;Romania ;ROU;Romania;ROU;Romania;ROU
Saint Kitts and Nevis;SKN;#N/A;KNA;KANN;;;;RUS;Russian Federation ;RUS;Russian Federation;RUS;Russian Federation;RUS
Saint Vincent;SVG;#N/A;#N/A;;;;;RWA;Rwanda ;RWA;Rwanda;RWA;Rwanda;RWA
Samoa;SAM;#N/A;WSM;WSM;;;;SAU;Saudi Arabia ;SAU;Saudi Arabia;SAU;Saudi Arabia;SAU
Saudi Arabia;SAU;SAU;SAU;SAU;;;;SDN;Sudan ;SDN;Sudan;SDN;Sudan;SDN
Senegal;SEN;SEN;SEN;SEN;;;;SEN;Senegal ;SEN;Senegal;SEN;Senegal;SEN
Serbia;SER;#N/A;SRB;SRB;;;;SGP;Singapore ;SGP;Singapore;SGP;Singapore;SGP
Seychelles;SEY;#N/A;SYC;SYC;;;;SGS;South Georgia and the South Sandwich Islands ;SGS;South Georgia and the South Sandwich Islands;SGS;South Georgia and the South Sandwich Islands;SGS
Sierra Leone;SIE;#N/A;SLE;SLE;;;;SHN;Saint Helena, Ascension and Tristan da Cunha ;SHN;Saint Helena, Ascension and Tristan da Cunha;SHN;Saint Helena, Ascension and Tristan da Cunha;SHN
Singapore;SIN;#N/A;SGP;SGP;;;;SJM;Svalbard and Jan Mayen ;SJM;Svalbard and Jan Mayen;SJM;Svalbard and Jan Mayen;SJM
Slovakia;SLK;#N/A;SVK;SVK;;;;SLB;Solomon Islands ;SLB;Solomon Islands;SLB;Solomon Islands;SLB
Slovenia;SLO;#N/A;SVN;SVN;;;;SLE;Sierra Leone ;SLE;Sierra Leone;SLE;Sierra Leone;SLE
Solomon Islands;SOL;#N/A;SLB;SLB;;;;SLV;El Salvador ;SLV;El Salvador;SLV;El Salvador;SLV
Somalia;SOM;SOM;SOM;SOM;;;;SMR;San Marino ;SMR;San Marino;SMR;San Marino;SMR
South Africa;SA;#N/A;ZAF;ZAF;;;;SOM;Somalia ;SOM;Somalia;SOM;Somalia;SOM
South Korea;KOS;#N/A;#N/A;;;;;SPM;Saint Pierre and Miquelon ;SPM;Saint Pierre and Miquelon;SPM;Saint Pierre and Miquelon;SPM
South Sudan;SSD;#N/A;#N/A;;;;;SRB;Serbia ;SRB;Serbia;SRB;Serbia;SRB
South Vietnam;VNS;#N/A;#N/A;;;;;STP;Sao Tome and Principe ;STP;Sao Tome and Principe;STP;Sao Tome and Principe;STP
South Yemen;YES;#N/A;#N/A;;;;;SUR;Suriname ;SUR;Suriname;SUR;Suriname;SUR
Southern rebels (Yemen)*;XYS;#N/A;#N/A;;;;;SVK;Slovakia ;SVK;Slovakia;SVK;Slovakia;SVK
Soviet Union;USR;#N/A;#N/A;;;;;SVN;Slovenia ;SVN;Slovenia;SVN;Slovenia;SVN
Spain;SPA;#N/A;ESP;ESP;;;;SWE;Sweden ;SWE;Sweden;SWE;Sweden;SWE
Sri Lanka;SRI;#N/A;LKA;LKA;;;;SWZ;Swaziland ;SWZ;Swaziland;SWZ;Swaziland;SWZ
Sudan;SUD;#N/A;SDN;SDN;;;;SYC;Seychelles ;SYC;Seychelles;SYC;Seychelles;SYC
Suriname;SUR;SUR;SUR;SUR;;;;SYR;Syrian Arab Republic ;SYR;Syrian Arab Republic;SYR;Syrian Arab Republic;SYR
Swaziland;SWA;#N/A;SWZ;SWZ;;;;TCA;Turks and Caicos Islands ;TCA;Turks and Caicos Islands;TCA;Turks and Caicos Islands;TCA
Sweden;SWE;SWE;SWE;SWE;;;;TCD;Chad ;TCD;Chad;TCD;Chad;TCD
Switzerland;SWI;#N/A;CHE;CHE;;;;TGO;Togo ;TGO;Togo;TGO;Togo;TGO
Syria;SYR;SYR;#N/A;;;;;THA;Thailand ;THA;Thailand;THA;Thailand;THA
Syria rebels*;XSX;#N/A;#N/A;;;;;TJK;Tajikistan ;TJK;Tajikistan;TJK;Tajikistan;TJK
Taiwan (ROC);TAI;#N/A;#N/A;;;;;TKL;Tokelau ;TKL;Tokelau;TKL;Tokelau;TKL
Tajikistan;TAJ;#N/A;TJK;TJK;;;;TKM;Turkmenistan ;TKM;Turkmenistan;TKM;Turkmenistan;TKM
Tanzania;TAN;#N/A;#N/A;;;;;TLS;Timor-Leste ;TLS;Timor-Leste;TLS;Timor-Leste;TLS
